줄, line
도교의 무위자연설을 아는가, Do you know the inaction of Taoism jayeonseol
이곳은 자연 유치원의 복도, This is a natural corridor of kindergarten
여자연구생 2명 이 참가했다, 2 girls took part in this research students
이 수치가 나이에 따른 자연, This figure is based on natural age
어찌하다보니 자연스럽게 됐다, Why was it looked naturally

정말, Really
걱정말라, Do not worry
” “정말, &quot; &quot;Really
“정말 강하다, &quot;I am strong
“정말 바빴다, &quot;Really busy
“정말 힘들다, &quot;It is hard
“정말 기쁘다, &quot;I&#39;m glad
76정말 신난다, 76 Really Awesome
그러나 정말이다, But really
” 정말 그런가, &quot;I really am
아, 정말 싫다, Oh, I hate
rTbPNW정말, I rTbPNW
와우~ 정말인가, Wow, really applied
이 정말 그래요, Yes, really
형, 정말 고마워, Type, thank you
얼굴이 정말 작다, Face is really small
“정말 기분 좋다, &quot;I feel really good
내용도 정말 좋다, Content is also very good
아··정말 편하다아··정말 편하다
기분이 정말 좋다, I feel really good
나는 정말 약하다, I really weak
이게 정말 무섭다, Is this really scary
형은 정말 대단해, Type is just great
여기가 정말 맞나, This is really matna
그녀가 정말 없다, She is not really
“와우, 정말이죠, &quot;Wow, that&#39;s really

구조, rescue
묘한 구조다, The peculiar structure
문장 구조상 그렇다, Then the sentence structure
요구조건은 두 가지, Are the two conditions required
실리와 두터움의 구조, Seeley and structure of duteoum
2국은 호텔 구조상 없었다, Two stations were structurally Hotel
일종의 구조 조정기인 셈이죠, Shem&#39;s a kind of restructuring
안일함의 추구, 밀폐된 구조, Pursuit of an enclosed structure anilham
제대로 된 구조조정을 보여달라, The right shows the different restructuring
새 대표의 취임과 구조조정이라, Inauguration of the new representative called and restructuring
서광사는 3층 구조의 사찰이다, Seogwangsa is the temple of the three-layer structure
부익부 빈익빈이 심화되는 구조, The deepening structural buikbu binikbin
정책망 구조자체가 달라야 한다, The network structure is different from the policy itself
미래상생의 구조를 생각한 것이죠, Hers thought the structure of the Future Win
이런 구조는 2~4층에 해당된다, This structure corresponds to a layer 2-4
한층 효율적인 구조로 재탄생했다, It was reborn as a more efficient structure
’ 없이는 시행하기 힘든 구조다, &quot;Without it difficult to implement structural
경쟁구조가 매우 심해졌음을 뜻한다, It means that the competitive structure is very sound simhaejyeot
말하자면 구조조정을 단행한 것이다, One would say restructure
출구조사로 기사들의 의견을 물었다, To exit polls asked the opinion articles
여성은 남성과 머리 구조가 다르다, Men and women have different brain structures
인간의 뇌는 중독에 약한 구조라던데, The human brain is a weak structure. Says Addiction
이 친구는 나랑 구강구조가 닮았는데, This guy looks like me. I have oral structure
이 둘은 뇌 구조가 닮았을지도 몰라, These two might resemble the structure of the brain
그런 구조가 잘 안 바뀌는 것 같다, It seems that the structure is not good change
늘리기도 힘들고 줄이기도 힘든 구조다, The increase is also difficult to reduce even tough structure

격국, Gyeokguk

밥, rice
추수들밥, Harvest of rice
신의 밥, God&#39;s Bob
역쉬 밥튕이넹, Yeokswi baptwing this neng
철밥통이라구요, Iron yiraguyo breadbasket
얼렁 밥주세요, Please eolreong rice
21밥통 구리, 21 breadbasket of copper
점심은 장어덮밥, Lunch eel on rice
김치에 달랑 밥, Duffle rice kimchi
점심메뉴는 비빔밥, Lunch menu is bibimbap
나도 밥 먹는다고, I eat rice
좀져줘 5단 말밥, Some jyeojwo 5 malbap
지금 밥이 문제냐, Now Bob has a problem &#39;cause
“밥이 보약입니다, &quot;Bob is a restorative
비빔밥 양념장이다, The bibimbap sauce
깁밥사범의 완승이다, Gipbap the victory of Teachers
김밥사범의 흑 차례, Normal times of black seaweed
동아전과 3급 개밥, 3 star dog food before East
‘밥 잘 먹었습니다, I ate Bob fine
짬밥에 밀린 것인가, It will catch up on jjambap
너 정도는 내 밥이야, You are about&#39;re mine
한마디로 ‘밥피자’다, The &quot;Pizza Bob&quot; in a word
니네들은 밥만 X먹냐, Gals are bapman X meoknya
점심식사는 비빔밥이다, Lunch is bibimbap
점심 메뉴는 장어덮밥, Lunch menu eel on rice
콩나물국밥집 골목은요, What about the bean sprout soup alley house

입다, wear
하나 더 껴입다, One more kkyeoipda
중국 시나 닷컴은 후지쓰배에서 중국 선수단, 중상을 입다, Sina is China Dress Chinese athletes, seriously injured in the Fujitsu times
실전진행1 흑, 치명상 입다 송5단은 흑1~5로 일단 차단하고 본다, Black goes first encounter, fatal Dress Song 5 is regarded as one block and black 1-5
그의 기보를 이해하고 싶어서 기초 책부터 정석 책을 들입다 외웠어요, I wanted to understand his Kibo woteoyo other deulipda the crystallization book from the book basis
실전진행1 흑, 치명상입다 고심하던 김6단은 일단 흑1로 후퇴하고 본다, Black goes first encounter, Kim was struggling suffer fatal injuries and one six sees retreat as the black one
실전진행1 흑, 치명상을 입다 백2로 넘어가자 졸지에 하변 흑 전체의 생사가 도마에 올랐다, Black goes first encounter, come over to suffer a fatal 102 suddenly went on the fate of the entire lower side Black Thomas,
실전진행 백, 치명상 입다 하릴없이 백1로 따냈으나, 흑2로 콕~ 끼우자 졸지에 알토란같은 백○들이 뭉텅 떨어져 나갔다실전진행 백, 치명상 입다 하릴없이 백1로 따냈으나, 흑2로 콕~ 끼우자 졸지에 알토란같은 백○들이 뭉텅 떨어져 나갔다
실전진행1 백, 치명상을 입다 뜻밖의 묘수를 당한 홍장식 4단은 고심 끝에 백1로 나갔으나, 이번에는 이세돌의 시나리오 2탄이 준비되어 있었다, 100 practical progress, suffer a fatal wound suffered an unexpected hongjangsik 4 myosu is nagateuna to 101 at the end of struggle, this time there were two scenarios shots of Lee Se-dol ready
백148 한방에 흑이 치명상을 입다 흑의 끈질긴 항전으로 중앙 수상전이 벌어졌다 흑177이 실수 백의 완승으로 종국 View Point 불리한 바둑을 목진석 9단이 던지지 못하고 계속 두어 나가자 해설자 김성룡 9단 흑이 반면 10집은 진 거 같아요, Bag 148 is black in Oriental Dress the fatal white and black was the central capturing race is going to die-hard avionics black 177 is ultimately a mistake hundredth victory View Point Let&#39;s get a couple to continue not throw this Mok Jin-seok nine adverse Go commentator gimseongryong nine black whereas 10 houses I think Jean

오하려, Trying five

프로그램, program
대체 어떤 프로그램이죠, What kind of alternative program
레슨프로그램이 많아졌다, This lesson program was more
가장 즐겨보는 프로그램은, The most favorite programs
장기 프로그램이 필요합니다, This long-term program is required
이른바 신개혁프로그램이지요, Yijiyo so-called new reform program
현재 바둑TV의 프로그램수는, TV program number of the current monarch is
즉, 다른 프로그램에서 생성된, In other words, generated from other Program
바둑TV에 필요한 프로그램이다, TV programs are required to go
라고 프로그램을 소개하고 있다, It has introduced a program called
꽃보다 바둑센터 프로그램 안내, Monarch Center program guide over flowers
바로 경제야놀자 라는 프로그램, Right of economic programs should play
최장수 프로그램은 스피드 초점국최장수 프로그램은 스피드 초점국
대부분의 프로그램은 바둑강좌이다, Most of the program is Baduk courses
새롭게 만나는 프로그램들도 있다, There are also new programs to meet
입증된 프로그램을 시행할 것입니다, It will implement a proven program
한국에서도 그런 프로그램이 나왔다, Then came this program in Korea
당신이 즐겨보는 프로그램의 종류는, What kind of program you favorite
호야는 마치 프로그램된 로봇 같았다, Hoya seemed as if the robot program
특별한 프로그램이 있는 것도 아니다, Nor have special programs
9줄로선 대단한 프로그램인 것 같다, It seems to be a great program petite line 9
행사의 막바지 프로그램인 지도다면기, Map damyeongi the end of the program of events
“절에서 바둑 프로그램이 어울릴까요, &quot;What this program go hang in the section
청소년을 위해 어떨 프로그램이 있나, What about Are there programs for youth
바둑인성교육프로그램 토론회 발표 장면, Badukin sex education debate program presented scenes
그러나 이번 프로그램은 차원이 달랐다, But this program was different dimensions

네, Yeah
했네, Haetne
맞네, &#39;s Right
하네, &#39;m
“네, &quot;Yeah
‘네, &#39;Yeah
괜찮네, &#39;s Okay
끝났네, Over.We
“네에, &quot;Yea
멋지네, Swell
마네킹, mannequin
이겼네, Yigyeotne
틀렸네, Was wrong
재밌네, Funny
죽이네, Shiny
* 네, * Yeah
천재네, Your genius
열받네, Heat batne
죽었네, Four dead
이네요, That&#39;s
그러네, You&#39;re right
어렵네, Eoryeopne
이 네, Four
황 네, Four sulfur
덥네요, It&#39;s hot.
“네~, &quot;Yes ~

이루어지다, come true
허당이 : 예상은 했지만 실제로 이루어지다니 정말 기쁨니다, Heodang is expected to have indeed done, but I really delight jidani
정보 전달이 용이하고 습득이 빠르게 이루어지다보니 많은 기사들이 20세도 안되는 나이에 이미 좋은 성적을 거두고 있다, Many articles easier to transfer information quickly and looked Jeddah made this acquisition are already reaping good results in the age of 20 should not Sedo
안내문을 출력하고 일일이 주소를 붙이는 봉투 작업이 수작업으로만 이루어지다 보니 시간은 물론 우편 발송에 소요되는 비용 역시 적지 않았다, Output and fall of the envelope with instructions to put a work address individually made by hand just saw time as well as costs were too few to be spent on mailings
지금까지 기사에게 보내는 수백 장의 안내문은 모두 수작업으로만 이뤄져 안내문을 출력하고 일일이 주소를 붙이는 봉투 작업이 수작업으로만 이루어지다 보니 시간은 물론 우편 발송에 소요되는 비용 역시 적지 않았다, Instructions sent to hundreds of articles so far, all by hand only yirwojyeo output a notice and become attached to individually address the envelopes work done only by hand saw quite a few times as well but also cost of mailing
완료기전 차감으로 인해 랭킹 대이동 이루어지다 지난 주간랭킹 041107 칼럼을 읽고 올려주신 yomlee님의 댓글에서 힌트를 얻고 지존창호님 등의 동의에 힘입어 완료기전 데이터에 대해 차등 차감 작업을 실시하였다, Read the exodus last week ranking 041 107 column Jeddah place ranking due to complete deduction mechanism to get a hint from the yomlee&#39;s comments gave up work was carried out differential deduction mechanism for complete data thanks to the agreement, including Premier&#39;s windows

남, south
맛남, Matnam
만남, meeting
차도남, M driveway
어남택, Select eonam
베트남, Vietnam
리성남, Re Seongnam
조남균, Jonamgyun
영남일보, Daily Nam
훈남이죠, It&#39;s girls
동남아중에, In Southeast Asia
2남 1녀, Two sons and one daughter
품절남이요, Sold out M am
을 남겼다, The left
를 남겼다, Left the
중국남자팀, Chinese men&#39;s team
충북 전남, Chungbuk South Jeolla
영남일보4, Nam Daily 4
낯선 남자, A strange man
대구 경남, Daegu, South Gyeongsang
영남일보다, Yeungnam than one
해남행이다, The Haenam-line
웬 남학생, Wen Boys
말을 남겼다, Left to say
최고 인기남, Best golden child
영남일보 팀, Nam Daily team

